name,url,category,sub_category,price,price_per_unit,price_unit,quantity,weight_per_unit,weight_unit,energy_kj,energy_kcal,fat (g),of which saturates (g),carbohydrate (g),of which sugars (g),fibre (g),protein (g),salt (g),fatlow (g),of which saturateslow (g),of which sugarsmedium (g),saltlow (g),of which sugarshigh (g),saltmedium (g),of which sugarslow (g),salthigh (g),of which mono-unsaturates (g),fathigh (g),of which saturatesmedium (g),fatmedium (g),of which saturateshigh (g),sodium (g),energy value in kj (g),energy value in kcal (g),vitamin b1 (thiamin) (g),vitamin b2 (riboflavin) (g),niacin (g),vitamin b6 (g),folic acid / folate (g),iron (g),magnesium (g),of which polyvalents alcohols (g),phosphorus (g),mangan (g),vitamin b12 (g),vitamin d (g),pantothenic acid (g),calcium (g),folic acid (g),vitamin e (g),vitamin k (g),vitamin c (g),biotin (g),omega-3 fatty acids (g),potassium (g),zinc (g),alpha linolenic acid (omega-3 fatty acids) (g),water (g),omega-6 fatty acids (g),iodine (g),fluoride (g),of which starch (g),vitamin a (g),cholesterin (g),selen (g),caffeine (g),copper (g),silicon (g),bicarbonate (or hydrogen carbonate) (g),nitrate (g),sulfate (g),chloride (g),sulphate 4+ (g),minerals (g),vegetable sterine (g),chrome (g),molybdenum (g),lactose (g)
Bauernbratwurst 2 Stück,https://www.migros.ch/en/product/230102051000,meat-fish,cold-cuts,6.8,2.43,100g,1,280,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalbsbratwurst IP-SUISSE,https://www.migros.ch/en/product/230110351911,meat-fish,cold-cuts,4.95,1.77,100g,1,280,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appenzeller Siedwurst 1 Paar,https://www.migros.ch/en/product/230131000000,meat-fish,cold-cuts,6.2,2.58,100g,1,240,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luganighe,https://www.migros.ch/en/product/230140083000,meat-fish,cold-cuts,1.95,1.95,100g,1,100,g,1567,379,,,0.5,,0.5,16,,,,,,,,0.5,2.8,,35,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinswürstli 4 Stück,https://www.migros.ch/en/product/230510050700,meat-fish,cold-cuts,4.95,2.06,100g,1,240,g,1070,258,,,1,,0.5,16,,,,,,,,0.5,2.2,,21,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seeländerli,https://www.migros.ch/en/product/230510052600,meat-fish,cold-cuts,8.95,2.49,100g,3,120,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernerli 2 Paar,https://www.migros.ch/en/product/230510700000,meat-fish,cold-cuts,,,,,,,1226,296,,,0.9,,0.5,19,,,,,,,,0.5,2,,24,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schüblig,https://www.migros.ch/en/product/230520155501,meat-fish,cold-cuts,9.7,1.94,100g,2,250,g,1180,285,,,0.5,,0.5,15,,,,,,,,0.5,2.1,,25,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aare Schüblig,https://www.migros.ch/en/product/230521600000,meat-fish,cold-cuts,5.9,2.46,100g,1,240,g,1032,249,,,0.5,,0.5,15,,,,,,,,0.5,2,,21,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Galler Stumpen,https://www.migros.ch/en/product/230530750900,meat-fish,cold-cuts,5.9,2.27,100g,1,260,g,1050,251,,,1,,0,13,,,,,,,,0.5,2.1,,22,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Kümmiwurst,https://www.migros.ch/en/product/230534100000,meat-fish,cold-cuts,,,,,,,800,193,,,0.5,,0.5,14,,,,,,,,0.5,2.1,,,,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bauernwurst 2 Stück,https://www.migros.ch/en/product/230534300000,meat-fish,cold-cuts,6.8,2.52,100g,1,270,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Oriental Rindfleischwurst,https://www.migros.ch/en/product/230534600000,meat-fish,cold-cuts,5.4,2.25,100g,1,240,g,900,216,17,6,1,1,0.5,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
