url,name,weight,price,price_per_unit,nutritional_values
https://www.migros.ch/en/product/263501108600,M-Budget · Lemon,1kg,2.50,0.25/100g,"{'Energy': '101 kJ (24 kcal)', 'Fat': '0.6 g', 'of which saturates': '0.1 g', 'Carbohydrate': '3 g', 'of which sugars': '3 g', 'Fibre': '2 g', 'Protein': '0.7 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/263330108400,Fresca · Oranges · Blonde,3kg,4.50,0.15/100g,{}
https://www.migros.ch/en/product/263405508400,Clementines,2kg,6.95,0.35/100g,{}
https://www.migros.ch/en/product/263382702300,Migros Bio · Bitter oranges,1.5kg,4.95,0.33/100g,"{'Energy': '185 kJ (44 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '8.6 g', 'of which sugars': '8.6 g', 'Fibre': '1.8 g', 'Protein': '1 g', 'Salt': '0.01 g'}"
https://www.migros.ch/en/product/263330401000,Extra Blondorangen,,3.50,0.35/100g,"{'Energy': '185 kJ (44 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '8.6 g', 'of which sugars': '8.6 g', 'Fibre': '1.8 g', 'Protein': '1 g', 'Salt': '0.01 g'}"
https://www.migros.ch/en/product/263331001000,Demeter Blondorangen,1 kg,3.50,0.35/100g,"{'Energy': '185 kJ (44 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '8.6 g', 'of which sugars': '8.6 g', 'Fibre': '1.8 g', 'Protein': '1 g', 'Salt': '0.01 g'}"
https://www.migros.ch/en/product/263382401000,Migros Bio Blondorangen,1 kg,3.90,0.39/100g,"{'Energy': '185 kJ (44 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '8.6 g', 'of which sugars': '8.6 g', 'Fibre': '1.8 g', 'Protein': '1 g', 'Salt': '0.01 g'}"
https://www.migros.ch/en/product/263330101000,Blondorangen,1 kg,2.30,0.23/100g,{}
https://www.migros.ch/en/product/263330701000,Extra · oranges · Tarocco,3kg,4.50,0.15/100g,"{'Energy': '185 kJ (44 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '8.6 g', 'of which sugars': '8.6 g', 'Fibre': '1.8 g', 'Protein': '1 g', 'Salt': '0.01 g'}"
https://www.migros.ch/en/product/263330901000,Blutorangen,1 kg,3.50,0.35/100g,{}
https://www.migros.ch/en/product/263331101000,Extra Blutorangen,1 kg,3.50,0.35/100g,{}
https://www.migros.ch/en/product/263330108500,Blondorangen,1 kg,2.30,0.23/100g,"{'Energy': '185 kJ (44 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '8.6 g', 'of which sugars': '8.6 g', 'Fibre': '1.8 g', 'Protein': '1 g', 'Salt': '0.01 g'}"
https://www.migros.ch/en/product/263333108500,Orangen Tarocco VeggieBag,1 kg,3.60,0.36/100g,{}
https://www.migros.ch/en/product/263331201000,Extra Tarocco rosso,1 kg,3.60,0.36/100g,{}
https://www.migros.ch/en/product/263331213200,Orange,1 Stück,1.20,1.20/piece,{}
https://www.migros.ch/en/product/263333302300,Blondorangen Veggie Bag,,3.60,0.36/100g,{}
https://www.migros.ch/en/product/263330301000,Extra Blondorangen,,3.50,0.35/100g,{}
https://www.migros.ch/en/product/264704513200,Extra · melon · Jolly,1 Stück,2.20,2.20/Piece,"{'Energy': '159 kJ (38 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '8 g', 'of which sugars': '8 g', 'Fibre': '0.9 g', 'Protein': '0.7 g', 'Salt': '0.05 g'}"
https://www.migros.ch/en/product/260233803300,M-Budget · Apples,2.5kg,3.95,0.16/100g,"{'Energy': '232 kJ (55 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0.1 g', 'Carbohydrate': '12 g', 'of which sugars': '12 g', 'Fibre': '2.1 g', 'Protein': '< 0.5 g', 'Salt': '0.01 g'}"
https://www.migros.ch/en/product/263330908400,Fresca · Blood oranges,,4.95,0.33/100g,{}
https://www.migros.ch/en/product/263330508400,Fresca · oranges · Tarocco,2kg,4.30,0.22/100g,{}
https://www.migros.ch/en/product/263406106500,Clementines · with leaf,,6.95,0.35/100g,{}
https://www.migros.ch/en/product/264300313200,Fresca · Pineapple,1 Stück,2.55,2.55/piece,"{'Energy': '218 kJ (51 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '11 g', 'of which sugars': '11 g', 'Fibre': '1.4 g', 'Protein': '< 0.5 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/261700702300,Fresca · Nectarines · Yellow,1kg,2.20,0.22/100g,"{'Energy': '193 kJ (46 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '9 g', 'of which sugars': '8 g', 'Fibre': '1.5 g', 'Protein': '1 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/264301513200,Flaschenananas,1 Stück,3.95,3.95/Piece,"{'Energy': '218 kJ (51 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '11 g', 'of which sugars': '11 g', 'Fibre': '1.4 g', 'Protein': '< 0.5 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/264300413200,Ananas ohne Krone,1 Stk.,9.95,9.95/Piece,{}
https://www.migros.ch/en/product/271580313200,Migros Bio · cucumbers,1 Stk.,2.–,2.–/piece,{}
https://www.migros.ch/en/product/271480802500,Migros Bio · Tomatoes · Dates,300g,4.95,1.65/100g,"{'Energy': '89 kJ (21 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '3.2 g', 'of which sugars': '3.2 g', 'Fibre': '1.2 g', 'Protein': '0.8 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/271500513200,Fresca · cucumbers,1 Stück,0.95,2.–/Piece,"{'Energy': '56 kJ (13 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '2 g', 'of which sugars': '1.9 g', 'Fibre': '0.8 g', 'Protein': '0.7 g', 'Salt': '0.02 g'}"
https://www.migros.ch/en/product/271413502300,Fresca · Cherry tomatoes,500g,4.40,0.88/100g,"{'Energy': '89 kJ (21 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '3.2 g', 'of which sugars': '3.2 g', 'Fibre': '1.2 g', 'Protein': '0.8 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/264500313200,Avocado,,2.80,2.80/Piece,"{'Energy': '643 kJ (156 kcal)', 'Fat': '14 g', 'of which saturates': '2 g', 'Carbohydrate': '1.8 g', 'of which sugars': '0.7 g', 'Fibre': '7 g', 'Protein': '1.8 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/264580113200,Migros Bio · Avocado,,2.80,2.80/Piece,"{'Energy': '643 kJ (156 kcal)', 'Fat': '14 g', 'of which saturates': '2 g', 'Carbohydrate': '1.8 g', 'of which sugars': '0.7 g', 'Fibre': '7 g', 'Protein': '1.8 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/273800502400,Fresca · Haricots verts · verts,500g,3.95,0.79/100g,"{'Energy': '129 kJ (31 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0.1 g', 'Carbohydrate': '3.6 g', 'of which sugars': '2.2 g', 'Fibre': '3.1 g', 'Protein': '2.1 g', 'Salt': '0.01 g'}"
https://www.migros.ch/en/product/271416202300,Sélection · tomatoes · Marsanino,400g,4.90,1.23/100g,{}
https://www.migros.ch/en/product/271708513200,Fresca · peppers · Mix,1 kg,3.40,0.34/100g,"{'Energy': '135 kJ (32 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0.1 g', 'Carbohydrate': '5.2 g', 'of which sugars': '5.1 g', 'Fibre': '2 g', 'Protein': '0.9 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/275403102200,Asparagus · Mini,,8.95,1.19/100g,"{'Energy': '91 kJ (22 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '2 g', 'of which sugars': '2 g', 'Fibre': '1.5 g', 'Protein': '2.2 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/276501508400,Extra · Brussels sprouts,350g,2.95,0.84/100g,"{'Energy': '180 kJ (43 kcal)', 'Fat': '0.5 g', 'of which saturates': '0.1 g', 'Carbohydrate': '3.5 g', 'of which sugars': '2.9 g', 'Fibre': '4.3 g', 'Protein': '4 g', 'Salt': '0.02 g'}"
https://www.migros.ch/en/product/271804002600,Fresca · mushrooms · Brown,250g,2.40,0.96/100g,"{'Energy': '94 kJ (23 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '1.1 g', 'of which sugars': '< 0.5 g', 'Fibre': '1.9 g', 'Protein': '2.9 g', 'Salt': '0.01 g'}"
https://www.migros.ch/en/product/271414102400,Demeter · Cherry tomatoes,300g,5.50,1.83/100g,{}
https://www.migros.ch/en/product/271780302300,Migros Bio · Poivrons,,7.50,0.75/100g,"{'Energy': '135 kJ (32 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0.1 g', 'Carbohydrate': '5.2 g', 'of which sugars': '5.1 g', 'Fibre': '2 g', 'Protein': '0.9 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/271880502400,Migros Bio · Champignon mushrooms · brown,250g,3.95,1.58/100g,"{'Energy': '94 kJ (23 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '1.1 g', 'of which sugars': '< 0.5 g', 'Fibre': '1.9 g', 'Protein': '2.9 g', 'Salt': '0.01 g'}"
https://www.migros.ch/en/product/264500713200,Extra · Avocado · Hass,1 Stück,2.80,2.80/piece,"{'Energy': '643 kJ (156 kcal)', 'Fat': '14 g', 'of which saturates': '2 g', 'Carbohydrate': '1.8 g', 'of which sugars': '0.7 g', 'Fibre': '7 g', 'Protein': '1.8 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/131131500000,Migros Bio · Red cabbage · gekocht,500g,3.20,0.64/100g,"{'Energy': '184 kJ (43 kcal)', 'Fatlow': '< 0.5 g', 'of which saturateslow': '< 0.1 g', 'Carbohydrate': '7.3 g', 'of which sugarsmedium': '7.3 g', 'Fibre': '2.6 g', 'Protein': '0.8 g', 'Saltmedium': '1.3 g'}"
https://www.migros.ch/en/product/273780302300,Migros Bio · zucchini,500g,2.85,0.57/100g,"{'Energy': '87 kJ (21 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0.1 g', 'Carbohydrate': '2 g', 'of which sugars': '2 g', 'Fibre': '1 g', 'Protein': '2 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/275400711400,Extra · asparagus · White,,8.95,1.19/100g,"{'Energy': '91 kJ (22 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '2 g', 'of which sugars': '2 g', 'Fibre': '1.5 g', 'Protein': '2.2 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/271501202200,Fresca · Cucumber · Snack,250g,2.40,0.96/100g,{}
https://www.migros.ch/en/product/273801902300,Beans · Extra-fin,350g,4.80,1.37/100g,"{'Energy': '129 kJ (31 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0.1 g', 'Carbohydrate': '3.6 g', 'of which sugars': '2.2 g', 'Fibre': '3.1 g', 'Protein': '2.1 g', 'Salt': '0.01 g'}"
https://www.migros.ch/en/product/131125100000,Anna's Best · Sauerkraut · cooked,500g,2.95,0.59/100g,"{'Energy': '119 kJ (28 kcal)', 'Fatlow': '1 g', 'of which saturateslow': '0.1 g', 'Carbohydrate': '1 g', 'of which sugarslow': '0.9 g', 'Fibre': '2.9 g', 'Protein': '1.4 g', 'Salthigh': '1.6 g'}"
https://www.migros.ch/en/product/271402502400,Fresca · Cherry Tomatoes · Mix,500g,4.40,0.88/100g,"{'Energy': '89 kJ (21 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '3.2 g', 'of which sugars': '3.2 g', 'Fibre': '1.2 g', 'Protein': '0.8 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/271605502300,Fresca · Eggplant · Thin,300g,3.50,1.17/100g,"{'Energy': '96 kJ (23 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '3.1 g', 'of which sugars': '2.8 g', 'Fibre': '2.4 g', 'Protein': '1 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/271401302300,Fresca · tomatoes · Perla,1kg,2.50,0.25/100g,"{'Energy': '89 kJ (21 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '3.2 g', 'of which sugars': '3.2 g', 'Fibre': '1.2 g', 'Protein': '0.8 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/276500508300,Fresca · Brussels sprouts,500g,3.30,0.66/100g,"{'Energy': '180 kJ (43 kcal)', 'Fat': '0.5 g', 'of which saturates': '0.1 g', 'Carbohydrate': '3.5 g', 'of which sugars': '2.9 g', 'Fibre': '4.3 g', 'Protein': '4 g', 'Salt': '0.02 g'}"
https://www.migros.ch/en/product/271716902200,Chili · Red,1 Stück,2.20,2.20/piece,{}
https://www.migros.ch/en/product/271802202300,Fresca · mushrooms · White,250g,2.40,0.96/100g,"{'Energy': '94 kJ (23 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '1.1 g', 'of which sugars': '< 0.5 g', 'Fibre': '1.9 g', 'Protein': '2.9 g', 'Salt': '0.01 g'}"
https://www.migros.ch/en/product/131125200000,Migros Bio · Sauerkraut · cooked,500g,2.95,0.59/100g,"{'Energy': '118 kJ (28 kcal)', 'Fatlow': '0.5 g', 'of which saturateslow': '< 0.1 g', 'Carbohydrate': '1.9 g', 'of which sugarslow': '1.1 g', 'Fibre': '3 g', 'Protein': '1.5 g', 'Saltmedium': '1.5 g'}"
https://www.migros.ch/en/product/273802102300,Extra · Beans · thin,350g,4.80,1.37/100g,"{'Energy': '129 kJ (31 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0.1 g', 'Carbohydrate': '3.6 g', 'of which sugars': '2.2 g', 'Fibre': '3.1 g', 'Protein': '2.1 g', 'Salt': '0.01 g'}"
https://www.migros.ch/en/product/275402502300,Fresca · asparagus tips · White,300g,6.50,2.17/100g,"{'Energy': '91 kJ (22 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '2 g', 'of which sugars': '2 g', 'Fibre': '1.5 g', 'Protein': '2.2 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/271400708400,M-Budget · Tomatoes,1kg,2.50,0.25/100g,{}
https://www.migros.ch/en/product/275800516200,Fresca · Artichoke hearts,1 Stück,4.50,4.50/piece,"{'Energy': '176 kJ (43 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '2.6 g', 'of which sugars': '2.6 g', 'Fibre': '11 g', 'Protein': '2.4 g', 'Salt': '0.12 g'}"
https://www.migros.ch/en/product/274304502200,Sweet corn · Mini,,2.80,0.64/100g,"{'Energy': '390 kJ (92 kcal)', 'Fat': '1.2 g', 'of which saturates': '0.2 g', 'Carbohydrate': '16 g', 'of which sugars': '3.4 g', 'Fibre': '2.8 g', 'Protein': '3.3 g', 'Salt': '< 0.01 g'}"
https://www.migros.ch/en/product/271880702500,Migros Bio · Mushrooms herb seitlings,150g,4.20,2.80/100g,{}
https://www.migros.ch/en/product/275480311400,Migros Bio · asparagus · Green,500g,8.90,1.78/100g,"{'Energy': '91 kJ (22 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '2 g', 'of which sugars': '2 g', 'Fibre': '1.5 g', 'Protein': '2.2 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/271401702500,M-Budget · Tomatoes,500g,3.50,0.70/100g,{}
https://www.migros.ch/en/product/271880602300,Migros Bio · Mushrooms · white,250g,3.95,1.58/100g,"{'Energy': '94 kJ (23 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '1.1 g', 'of which sugars': '< 0.5 g', 'Fibre': '1.9 g', 'Protein': '2.9 g', 'Salt': '0.01 g'}"
https://www.migros.ch/en/product/271481302300,Migros Bio · Vine tomatoes,500g,3.50,0.70/100g,{}
https://www.migros.ch/en/product/275401911300,Fresca · asparagus · Green,,8.95,1.19/100g,"{'Energy': '91 kJ (22 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '2 g', 'of which sugars': '2 g', 'Fibre': '1.5 g', 'Protein': '2.2 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/271500613200,Demeter · Concombre,1 Stück,2.60,2.60/piece,{}
https://www.migros.ch/en/product/275480111400,Migros Bio · asparagus · White,500g,9.50,1.90/100g,"{'Energy': '91 kJ (22 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '2 g', 'of which sugars': '2 g', 'Fibre': '1.5 g', 'Protein': '2.2 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/275402411400,"Fresca · Aspargus · green, thin",500g,4.70,0.94/100g,"{'Energy': '91 kJ (22 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '2 g', 'of which sugars': '2 g', 'Fibre': '1.5 g', 'Protein': '2.2 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/274380302300,Migros Bio · Sweet corn · Fresh,440g,4.50,1.02/100g,{}
https://www.migros.ch/en/product/271880902500,Migros Bio · Shiitake mushrooms · Fresh,150g,4.55,3.03/100g,{}
https://www.migros.ch/en/product/275402702500,Fresca · asparagus tips · Green,300g,6.50,2.17/100g,"{'Energy': '91 kJ (22 kcal)', 'Fat': '< 0.5 g', 'of which saturates': '0 g', 'Carbohydrate': '2 g', 'of which sugars': '2 g', 'Fibre': '1.5 g', 'Protein': '2.2 g', 'Salt': '0 g'}"
https://www.migros.ch/en/product/274303702300,Fresca · Sweet corn · Fresh,440g,2.80,0.64/100g,{}
https://www.migros.ch/en/product/131125300000,Migros Bio · Sauerkraut raw · Organic,500g,2.40,0.48/100g,"{'Energy': '89 kJ (22 kcal)', 'Fatlow': '< 0.5 g', 'of which saturateslow': '0 g', 'Carbohydrate': '0.8 g', 'of which sugarslow': '0.5 g', 'Fibre': '3 g', 'Protein': '1.4 g', 'Saltmedium': '1.5 g'}"
https://www.migros.ch/en/product/271484502300,Migros Bio · tomatoes · Marsanino,,4.95,1.65/100g,{}
https://www.migros.ch/en/product/271403002600,Tomatoes · cherry snack,400g,4.90,1.23/100g,{}
https://www.migros.ch/en/product/271481602400,Migros Bio · Cherry tomatoes · Organic,,5.50,1.83/100g,{}
