category,sub_category,url
fruits-vegetables,fruits,https://www.migros.ch/en/product/265681302300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264682513200
fruits-vegetables,fruits,https://www.migros.ch/en/product/260205004100
fruits-vegetables,fruits,https://www.migros.ch/en/product/266080109400
fruits-vegetables,fruits,https://www.migros.ch/en/product/260260304100
fruits-vegetables,fruits,https://www.migros.ch/en/product/265323302300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264601802300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264625602300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264882502300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264682902100
fruits-vegetables,fruits,https://www.migros.ch/en/product/264802101000
fruits-vegetables,fruits,https://www.migros.ch/en/product/265606703000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264605613200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264626313200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264608501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264616501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264623501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264882101000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264800713200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264622302100
fruits-vegetables,fruits,https://www.migros.ch/en/product/264625513200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264801702300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264623601000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264625502300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264683101000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264681502100
fruits-vegetables,fruits,https://www.migros.ch/en/product/264682901000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264601302700
fruits-vegetables,fruits,https://www.migros.ch/en/product/264623502400
fruits-vegetables,fruits,https://www.migros.ch/en/product/264616602400
fruits-vegetables,fruits,https://www.migros.ch/en/product/264622301000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264616601000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264601301000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264401416300
fruits-vegetables,fruits,https://www.migros.ch/en/product/266101702300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264802302500
fruits-vegetables,fruits,https://www.migros.ch/en/product/264802301000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264681601000
fruits-vegetables,fruits,https://www.migros.ch/en/product/268811302300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264607513200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264628513200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264626413200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264610502100
fruits-vegetables,fruits,https://www.migros.ch/en/product/264613513200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264611513200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264600902400
fruits-vegetables,fruits,https://www.migros.ch/en/product/264612501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264681202200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264627501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264626113200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264802113200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264618501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264626301000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264683701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264710213200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264604513200
fruits-vegetables,fruits,https://www.migros.ch/en/product/263500313200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264800802400
fruits-vegetables,fruits,https://www.migros.ch/en/product/264623813200
fruits-vegetables,fruits,https://www.migros.ch/en/product/263604713200
fruits-vegetables,fruits,https://www.migros.ch/en/product/261500502500
fruits-vegetables,fruits,https://www.migros.ch/en/product/264880502300
fruits-vegetables,fruits,https://www.migros.ch/en/product/261604502700
fruits-vegetables,fruits,https://www.migros.ch/en/product/260238509300
fruits-vegetables,fruits,https://www.migros.ch/en/product/260289104100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260220304100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260216101000
fruits-vegetables,fruits,https://www.migros.ch/en/product/266070101000
fruits-vegetables,fruits,https://www.migros.ch/en/product/265611102300
fruits-vegetables,fruits,https://www.migros.ch/en/product/266102102300
fruits-vegetables,fruits,https://www.migros.ch/en/product/266080513200
fruits-vegetables,fruits,https://www.migros.ch/en/product/266000309400
fruits-vegetables,fruits,https://www.migros.ch/en/product/266100501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/266101701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/266100502700
fruits-vegetables,fruits,https://www.migros.ch/en/product/266000919000
fruits-vegetables,fruits,https://www.migros.ch/en/product/266003313200
fruits-vegetables,fruits,https://www.migros.ch/en/product/266100709400
fruits-vegetables,fruits,https://www.migros.ch/en/product/266100509300
fruits-vegetables,fruits,https://www.migros.ch/en/product/266000509500
fruits-vegetables,fruits,https://www.migros.ch/en/product/268800901000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260508104100
fruits-vegetables,fruits,https://www.migros.ch/en/product/261580102300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264500613200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264400613200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264610502300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264480302200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264480102100
fruits-vegetables,fruits,https://www.migros.ch/en/product/264400913300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264501202300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264800802300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264712313200
fruits-vegetables,fruits,https://www.migros.ch/en/product/263402501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/263480101000
fruits-vegetables,fruits,https://www.migros.ch/en/product/263400801000
fruits-vegetables,fruits,https://www.migros.ch/en/product/263405501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264710123200
fruits-vegetables,fruits,https://www.migros.ch/en/product/263405712300
fruits-vegetables,fruits,https://www.migros.ch/en/product/263406201000
fruits-vegetables,fruits,https://www.migros.ch/en/product/263404801000
fruits-vegetables,fruits,https://www.migros.ch/en/product/263405701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/263402601000
fruits-vegetables,fruits,https://www.migros.ch/en/product/263410701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/263404901000
fruits-vegetables,fruits,https://www.migros.ch/en/product/263402513200
fruits-vegetables,fruits,https://www.migros.ch/en/product/263501013200
fruits-vegetables,fruits,https://www.migros.ch/en/product/263403101000
fruits-vegetables,fruits,https://www.migros.ch/en/product/263405513200
fruits-vegetables,fruits,https://www.migros.ch/en/product/263402508400
fruits-vegetables,fruits,https://www.migros.ch/en/product/263406001000
fruits-vegetables,fruits,https://www.migros.ch/en/product/263480308500
fruits-vegetables,fruits,https://www.migros.ch/en/product/260533803400
fruits-vegetables,fruits,https://www.migros.ch/en/product/261680402300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264680913200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264617713200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264702113200
fruits-vegetables,fruits,https://www.migros.ch/en/product/266000909300
fruits-vegetables,fruits,https://www.migros.ch/en/product/265306302400
fruits-vegetables,fruits,https://www.migros.ch/en/product/265300702300
fruits-vegetables,fruits,https://www.migros.ch/en/product/260585004100
fruits-vegetables,fruits,https://www.migros.ch/en/product/263404708500
fruits-vegetables,fruits,https://www.migros.ch/en/product/260232503300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264704713200
fruits-vegetables,fruits,https://www.migros.ch/en/product/260516502100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260582602100
fruits-vegetables,fruits,https://www.migros.ch/en/product/264701513200
fruits-vegetables,fruits,https://www.migros.ch/en/product/260537306300
fruits-vegetables,fruits,https://www.migros.ch/en/product/263380708300
fruits-vegetables,fruits,https://www.migros.ch/en/product/263382308600
fruits-vegetables,fruits,https://www.migros.ch/en/product/260538101000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264300713200
fruits-vegetables,fruits,https://www.migros.ch/en/product/260580904100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260580502100
fruits-vegetables,fruits,https://www.migros.ch/en/product/264780513200
fruits-vegetables,fruits,https://www.migros.ch/en/product/260581004100
fruits-vegetables,fruits,https://www.migros.ch/en/product/105294500000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260516501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260581702100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260509601000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260506701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260508101000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260580901000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260505301000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260506704100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260580702100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260581204100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260285204100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260536304100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260538201000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260501901000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260581001000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260700501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260530313200
fruits-vegetables,fruits,https://www.migros.ch/en/product/260580701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260511801000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260537301000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260582004100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260580501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260503001000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260280104100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260580704100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260506804300
fruits-vegetables,fruits,https://www.migros.ch/en/product/260215701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264614608200
fruits-vegetables,fruits,https://www.migros.ch/en/product/265300102300
fruits-vegetables,fruits,https://www.migros.ch/en/product/263680301000
fruits-vegetables,fruits,https://www.migros.ch/en/product/263600713200
fruits-vegetables,fruits,https://www.migros.ch/en/product/263603713200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264300613200
fruits-vegetables,fruits,https://www.migros.ch/en/product/265381902300
fruits-vegetables,fruits,https://www.migros.ch/en/product/265323301000
fruits-vegetables,fruits,https://www.migros.ch/en/product/265313701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/265327101000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260520101000
fruits-vegetables,fruits,https://www.migros.ch/en/product/265312701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/265303901000
fruits-vegetables,fruits,https://www.migros.ch/en/product/265314001000
fruits-vegetables,fruits,https://www.migros.ch/en/product/265382301000
fruits-vegetables,fruits,https://www.migros.ch/en/product/265382401000
fruits-vegetables,fruits,https://www.migros.ch/en/product/265303507400
fruits-vegetables,fruits,https://www.migros.ch/en/product/265314901000
fruits-vegetables,fruits,https://www.migros.ch/en/product/265327401000
fruits-vegetables,fruits,https://www.migros.ch/en/product/265312702400
fruits-vegetables,fruits,https://www.migros.ch/en/product/265306501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/265308701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/265303902200
fruits-vegetables,fruits,https://www.migros.ch/en/product/265311702400
fruits-vegetables,fruits,https://www.migros.ch/en/product/262500502300
fruits-vegetables,fruits,https://www.migros.ch/en/product/260275004100
fruits-vegetables,fruits,https://www.migros.ch/en/product/264616502400
fruits-vegetables,fruits,https://www.migros.ch/en/product/264712113200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264614708200
fruits-vegetables,fruits,https://www.migros.ch/en/product/260220304300
fruits-vegetables,fruits,https://www.migros.ch/en/product/261604502500
fruits-vegetables,fruits,https://www.migros.ch/en/product/265300302400
fruits-vegetables,fruits,https://www.migros.ch/en/product/261680302300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264780713200
fruits-vegetables,fruits,https://www.migros.ch/en/product/260283104100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260215704300
fruits-vegetables,fruits,https://www.migros.ch/en/product/260288304100
